*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=hexbotling_v0_4
*Date=18:53:06
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;7.9248;-37.3592;0;Bottom;Copper Fill92
2;;;29.7181;-56.7976;-90;Bottom;TXT1
3;;;27.3738;-29.8532;0;Bottom;Via30
4;;;59.2426;-6.79874;0;Bottom;TXT1
5;;;59.0296;-40.0262;0;Bottom;Copper Fill87
6;;;47.5488;-20.7476;0;Bottom;Copper Fill28
7;;;56.5688;-23.5083;0;Bottom;Via124
8;;;33.7089;-38.1132;0;Bottom;Via147
9;;;58.039;-18.868;0;Bottom;Copper Fill133
10;;;19.7433;-15.2392;0;Bottom;Via140
11;;THT;4.4989;-52.0832;-90;Bottom;0
12;;SO;34.4963;-31.7632;-90;Top;4378T-2
13;;;63.5538;-35.5733;0;Bottom;Via121
14;12k;THT;47.0439;-35.5732;180;Bottom;R15
15;4.7µF;100 mil [THT, tantalum];33.0739;-23.5082;-180;Bottom;C5
16;;;24.1839;-12.7132;0;Bottom;Via137
17;;;26.9748;-13.6102;0;Bottom;Copper Fill144
18;;;46.7106;-38.807;0;Bottom;Copper Fill65
19;;THT;22.9139;-40.6532;90;Bottom;3i
20;;THT;22.9139;-24.1432;90;Bottom;7i
21;;;33.8074;-29.282;0;Bottom;Copper Fill111
22;;;31.8022;-48.9099;0;Bottom;Via152
23;;;60.8584;-16.8868;0;Bottom;Copper Fill39
24;;;58.1914;-28.5454;0;Bottom;Copper Fill19
25;;;25.5799;-21.3539;-90;Bottom;TXT1
26;;;14.0208;-40.0262;0;Bottom;Copper Fill86
27;;;21.0089;-11.4432;0;Bottom;Via130
28;;;50.4698;-46.7572;0;Bottom;Copper Fill62
29;;;54.6675;-51.449;0;Bottom;Via115
30;;;3.2512;-38.1212;0;Bottom;Copper Fill91
31;;THT;59.7439;-24.1432;180;Bottom;Cli
32;;;38.7096;-37.2576;0;Bottom;Copper Fill95
33;;;59.3312;-10.6921;0;Bottom;TXT1
34;;;17.1822;-41.9109;0;Bottom;Via81
35;;;52.1208;-20.8238;0;Bottom;Copper Fill131
36;;;58.1406;-8.3524;0;Bottom;Copper Fill149
37;;;5.9944;-1.6722;0;Bottom;Copper Fill155
38;0;THT;14.0239;-43.8282;0;Bottom;R3
39;;;54.483;-50.237;0;Bottom;Copper Fill61
40;;;14.6588;-2.55329;0;Bottom;Hole26
41;;THT;22.9139;-31.7632;90;Bottom;5i
42;;;64.8134;-30.5105;0;Bottom;Via122
43;;;5.0292;-9.6732;0;Bottom;Copper Fill35
