*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=hexbotling_client_v0_4
*Date=17:52:00
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;470;THT;12.2126;-17.7682;90;Bottom;R1
2;;;46.863;-53.7677;0;Bottom;Copper Fill1
3;;;47.0916;-53.0057;0;Bottom;Copper Fill49
4;;;49.8856;-33.219;0;Bottom;Copper Fill18
5;;;39.37;-36.1654;0;Bottom;Copper Fill67
6;;;47.1375;-53.9632;0;Bottom;Via16
7;;;42.6889;-51.3527;-90;Bottom;TXT1
8;;;34.7472;-32.4062;0;Bottom;Copper Fill73
9;;;25.1719;-36.1832;0;Bottom;huzzah32
10;;;9.0932;-10.5368;0;Bottom;Copper Fill103
11;;;29.9829;-33.0004;0;Bottom;Via6
12;;3 mm [THT];14.8086;-12.688;90;Bottom;LED1
13;;;36.3473;-30.4454;0;Bottom;Via5
14;;;49.2877;-25.3827;-90;Bottom;TXT1
15;;;32.131;-27.5805;0;Bottom;Copper Fill28
16;;;11.5798;-38.1021;0;Bottom;Via53
17;;;8.255;-14.804;0;Bottom;Copper Fill101
18;;;1.5494;-32.3557;0;Bottom;Copper Fill25
19;;;5.78143;-38.6504;0;Bottom;TXT1
20;;;53.1114;-42.9983;0;Bottom;Copper Fill63
21;;;10.0838;-3.14568;0;Bottom;Copper Fill107
22;;;42.0575;-51.4232;0;Bottom;Via40
23;;;41.137;-50.8263;-90;Bottom;TXT1
24;;;50.9627;-48.9018;0;Bottom;Via38
25;;;19.05;-39.1627;0;Bottom;Copper Fill22
26;;;6.1976;-41.601;0;Bottom;Copper Fill16
27;;;40.7875;-50.1532;0;Bottom;Via14
28;;;35.5346;-45.2081;0;Bottom;Copper Fill61
29;;;5.4356;-30.8314;0;Bottom;Copper Fill77
30;;THT;5.8626;-20.3082;-90;Bottom;J2
31;;;38.989;-24.7611;0;Bottom;Copper Fill95
32;;;5.842;-15.4644;0;Bottom;Copper Fill42
33;;;55.0045;-52.2835;-90;Bottom;TXT1
34;;;33.8008;-30.4866;0;Bottom;Via47
35;;;17.6276;-2.53579;0;Bottom;Copper Fill44
36;;;14.5034;-17.1154;0;Bottom;Copper Fill97
37;;;32.3342;-50.2879;0;Bottom;Copper Fill52
38;;;7.2898;-22.8307;0;Bottom;Copper Fill92
39;;;5.34244;-30.9088;0;Bottom;TXT1
40;;THT;59.8376;-43.1682;180;Bottom;Analog_In_b1
41;;;10.1854;-8.42859;0;Bottom;Copper Fill43
42;;;24.9455;-27.2645;0;Bottom;Via4
43;;;41.8338;-57.7047;0;Bottom;Copper Fill47
44;;;1.5748;-29.7141;0;Bottom;Copper Fill82
45;;;30.2514;-26.8947;0;Bottom;Copper Fill86
46;;THT;2.0526;-50.7882;180;Bottom;J4
47;;;36.8644;-57.6874;0;Bottom;TXT1
48;;;5.26737;-35.9555;0;Bottom;TXT1
49;;;35.814;-44.2429;0;Bottom;Copper Fill13
50;;;1.5494;-37.4357;0;Bottom;Copper Fill69
51;;;29.337;-43.8111;0;Bottom;Copper Fill12
52;;;37.6261;-29.2;0;Bottom;Via27
53;;;1.5494;-34.8957;0;Bottom;Copper Fill72
54;;;32.5345;-45.08;0;Bottom;Via36
55;;switch-spdt;13.4825;-50.1532;-90;Bottom;S1
56;;THT;42.6926;-22.8482;90;Bottom;COM2
57;;;61.849;-22.678;0;Bottom;Copper Fill27
58;1µF;100 mil [THT, tantalum];3.3226;-12.6882;180;Bottom;C4
59;;;62.7035;-20.0046;0;Bottom;TXT1
60;;;40.1574;-26.8439;0;Bottom;Copper Fill29
61;;;35.7124;-36.5972;0;Bottom;Copper Fill65
62;;;36.8977;-52.5284;0;Bottom;TXT1
63;;;40.6908;-50.3895;0;Bottom;Copper Fill6
64;;;59.8375;-56.5032;0;Bottom;Hole28
65;;;1.6002;-29.1299;0;Bottom;Copper Fill26
66;;;62.5945;-27.7128;0;Bottom;TXT1
67;;;38.862;-44.5731;0;Bottom;Copper Fill62
68;;THT;7.1326;-23.4832;90;Bottom;J3
69;;;1.8796;-22.3989;0;Bottom;Copper Fill38
70;;;57.9374;-17.5218;0;Bottom;Copper Fill100
71;;;2.6875;-56.5032;0;Bottom;Hole29
72;;;19.8164;-24.7654;0;Bottom;Via42
73;;;57.5141;-55.8309;-90;Bottom;TXT1
74;;1x04-1mm-ra;41.8277;-55.9892;180;Top;I2C1
75;;;58.1152;-18.4616;0;Bottom;Copper Fill41
76;;;4.4704;-47.0367;0;Bottom;Copper Fill5
77;;;37.6428;-55.6219;0;Bottom;Copper Fill46
78;;;40.513;-26.8439;0;Bottom;Copper Fill87
79;;300 mil [THT];17.2672;-36.1832;180;Bottom;D1
80;;;35.0774;-47.1128;0;Bottom;Copper Fill60
81;;;25.8318;-23.2371;0;Bottom;Copper Fill96
82;;;51.6417;-25.5786;-90;Bottom;TXT1
83;;;39.656;-50.9844;-90;Bottom;TXT1
84;;;50.9475;-52.0582;0;Bottom;Via13
85;;;25.5476;-50.1532;0;Bottom;LiPo Battery 1100 mAh1
86;;;40.1574;-47.1128;0;Bottom;Copper Fill11
87;;;55.9562;-22.7799;0;Bottom;Copper Fill89
88;;;24.2736;-22.8296;0;Bottom;Via3
89;;;48.0314;-26.9198;0;Bottom;Copper Fill88
90;;;36.8932;-54.9691;0;Bottom;TXT1
91;;;9.6725;-29.8333;0;Bottom;Via43
92;680;THT;18.5626;-16.4982;-90;Bottom;R2
93;;THT;34.4376;-53.9632;180;Bottom;DIO_b2
94;;;61.087;-55.4187;0;Bottom;Copper Fill2
95;;;25.7302;-23.821;0;Bottom;Copper Fill36
96;;;17.1196;-41.1439;0;Bottom;Copper Fill84
97;;;13.1826;-28.3679;0;Bottom;Copper Fill81
98;;;33.8025;-38.0883;0;Bottom;Via35
99;;;30.4292;-50.2879;0;Bottom;Copper Fill4
100;;;20.4675;-29.8333;0;Bottom;Via37
101;;;3.0734;-24.5576;0;Bottom;Copper Fill34
102;;;34.1376;-36.5972;0;Bottom;Copper Fill23
103;;;43.3422;-40.6328;0;Bottom;Via25
104;;;38.2475;-51.4232;0;Bottom;Via39
105;;;52.3748;-36.1654;0;Bottom;Copper Fill68
106;;;4.51879;-17.5217;-90;Bottom;TXT1
107;;;29.9974;-47.1128;0;Bottom;Copper Fill7
108;;;26.8175;-33.6433;0;Bottom;Via46
109;;;27.559;-40.1024;0;Bottom;Copper Fill17
110;;;37.6174;-47.1128;0;Bottom;Copper Fill10
111;;;30.4621;-49.9811;-90;Bottom;TXT1
112;;;20.5486;-48.0781;0;Bottom;Copper Fill57
113;;;62.0014;-32.9142;0;Bottom;Copper Fill24
114;;;14.7828;-24.1261;0;Bottom;Copper Fill90
115;;;14.7525;-2.52828;0;Bottom;Hole26
116;;;1.5494;-4.41568;0;Bottom;Copper Fill106
117;;;52.2175;-27.9283;0;Bottom;Via21
